Start Time (s),End Time (s),Text
0.0,7.34," Từ những thông tin tìm được cùng kiến thức trên lớp, sáng kiến làm sánh nước thải từ pin cũ đã được Phương và Thái giải công thử nghiệm."
7.44,9.92," Mất 3 tháng, cả 2 mới làm được thí nghiệm đầu tiên."
10.82,19.68," Pin lithium trong thực tế hiện nay có mặt ở rất nhiều các thiết bị khác nhau, từ iPad, điện thoại, máy tính, máy ảnh, thậm chí là cả ô tô điện."
20.22,23.32, Khó khăn hiện tại duy nhất của chúng em là việc thu hồi loại pin này.
23.32,30.32, Và trong các loại pin của các thiết bị khác nhau thì thường có cấu trúc hóa học khác nhau nên việc thu hồi lithium từ những loại pin này cũng sẽ gặp rất nhiều khó khăn.
33.38,39.120000000000005, Sau đây là quy trình thực nghiệm để chứng minh cho khả năng xử lý chất màu methylene blue của vật liệu LVO.
39.6,45.24, Trên tay em đây là một pin lithium cũ. Bây giờ chúng em sẽ tiến hành tách LMO trực tiếp từ cathode của pin.
45.760000000000005,51.760000000000005," Đầu tiên tiến hành loại bỏ lớp vỏ pin, tách lấy phần cathode điện cực đồng, cạo lấy lớp chất rắn là LMO."
53.32,57.86," Sau khi cạo lấy lithium từ pin thải, trải qua nhiều phản ứng khử và trộn với chất mới."
58.42,62.56, Tất cả đã tạo thành vật liệu với tên gọi LVO có khả năng khử màu nương nhuộm.
63.42,69.7," Đầu tiên là tái chế được ra lithium từ pin cũ, sau đó thì đã tạo ra được một loại vật liệu mới và có thể ứng dụng vào thực tế."
70.1,74.44," Bọn em cũng đã có khoảng thời gian đi thực nghiệm tại làng lụa Vạn Phúc ở Hà Đông, Hà Nội."
75.38,80.66, Chúng em cũng đã xin được mẫu nước về và sau đó tự thử nghiệm.
80.66,86.92, Vật liệu của chúng em đã xử lý được màu xanh của các nước màu thải đấy.
87.47999999999999,94.36, Chúng em hy vọng rằng trong tương lai thì vật liệu này của chúng em và cách xử lý của chúng em sẽ được ứng dụng nhiều vào thực tế để có thể giải quyết môi trường.
94.6,97.97999999999999, Đặc biệt là ô nhiễm môi trường nước đang là một vấn đề lớn của cả thế giới hiện nay.
98.56,102.64," Cả hai sẽ tiếp tục phát triển và mở rộng nghiên cứu theo hướng cải thiện hiệu suất xử lý,"
103.16,108.9, tìm cách mở rộng quy mô để sớm áp dụng được vào hộ gia đình và xa hơn là xử lý nước thải của một làng nghề.
